Name,Email,Roll No,Branch
Sarah Lee,april59@yahoo.com,2302098,ECE
Sandy Gomez,cranethomas@hotmail.com,2302097,EE
James Gardner,cervantesanthony@white.com,2302080,ECE
Molly Carney,ecruz@ford.com,2302075,CSE
Anthony Harvey,shelbyhernandez@munoz-thomas.net,2302095,CE
Luke Kelly DDS,nsmith@hicks.com,2302076,EE
Amber Wright,samuel90@vasquez-martin.net,2302087,ECE
Danny Hill,haleynicholas@hotmail.com,2302090,ME
Eric Rogers,sheilawalker@maldonado.net,2302071,EE
Blake Mccormick,williamsmargaret@hotmail.com,2302032,CSE
